ano_ref;mes_publicacao_yyyymm;mes_publicacao;survey_date_previsao;selic_focus_pct;reuniao_focus;selic_sgs_pct_aa_aprox;selic_sgs_data_obs;erro_prev_menos_real_pp;selic_focus_nresp
2020;202001;2020-01;2020-01-27;4,25;R8/2020;2,0;2020-12-31;2,25;103
2020;202002;2020-02;2020-02-26;4,25;R8/2020;2,0;2020-12-31;2,25;109
2020;202003;2020-03;2020-03-30;3,25;R8/2020;2,0;2020-12-31;1,25;111
2020;202004;2020-04;2020-04-27;3,0;R8/2020;2,0;2020-12-31;1,0;103
2020;202005;2020-05;2020-05-25;2,25;R8/2020;2,0;2020-12-31;0,25;107
2020;202006;2020-06;2020-06-29;2,0;R8/2020;2,0;2020-12-31;0,0;105
2020;202007;2020-07;2020-07-27;2,0;R8/2020;2,0;2020-12-31;0,0;107
2020;202008;2020-08;2020-08-31;2,0;R8/2020;2,0;2020-12-31;0,0;107
2020;202009;2020-09;2020-09-28;2,0;R8/2020;2,0;2020-12-31;0,0;100
2020;202010;2020-10;2020-10-26;2,0;R8/2020;2,0;2020-12-31;0,0;111
2020;202011;2020-11;2020-11-30;2,0;R8/2020;2,0;2020-12-31;0,0;106
2020;202012;2020-12;2020-12-07;2,0;R8/2020;2,0;2020-12-31;0,0;114
